,places,cafe,bar,spa,lodging,restaurant,food,point_of_interest,establishment,bakery,store,night_club,book_store,tourist_attraction,florist,liquor_store,movie_rental,electronics_store,home_goods_store,movie_theater,gym,health,parking,gas_station,car_wash,convenience_store,car_repair,art_gallery,park,meal_takeaway,meal_delivery,locality,political,general_contractor,police,laundry
0,20,20.0,2.0,1.0,1.0,11.0,20.0,20,20,3.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,20,20.0,2.0,,,9.0,20.0,20,20,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,20,20.0,2.0,1.0,1.0,10.0,20.0,20,20,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,20.0,1.0,,,8.0,20.0,20,20,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,20.0,2.0,1.0,1.0,11.0,20.0,20,20,3.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,20,20.0,3.0,1.0,2.0,10.0,20.0,20,20,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,20,20.0,2.0,1.0,1.0,14.0,20.0,20,20,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,20.0,,,,6.0,20.0,20,20,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,20,20.0,1.0,,1.0,5.0,20.0,20,20,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
9,20,20.0,,,,9.0,20.0,20,20,,5.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10,20,20.0,,,,9.0,20.0,20,20,,5.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11,20,20.0,1.0,,,6.0,20.0,20,20,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,20.0,,,,6.0,20.0,20,20,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,20,20.0,2.0,,,9.0,20.0,20,20,1.0,5.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14,20,20.0,2.0,1.0,1.0,10.0,20.0,20,20,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,20,20.0,,,,4.0,20.0,20,20,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,20.0,7.0,,3.0,9.0,20.0,20,20,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
17,20,20.0,,,,6.0,20.0,20,20,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,20,20.0,2.0,,,8.0,20.0,20,20,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
19,20,20.0,1.0,,,8.0,20.0,20,20,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,20.0,2.0,1.0,1.0,10.0,20.0,20,20,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,20.0,7.0,,4.0,10.0,20.0,20,20,,3.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
22,20,20.0,2.0,1.0,1.0,13.0,20.0,20,20,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,20,20.0,4.0,1.0,4.0,5.0,20.0,20,20,,3.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
24,20,20.0,1.0,,,8.0,20.0,20,20,2.0,5.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
25,20,20.0,3.0,1.0,1.0,12.0,20.0,20,20,4.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
26,20,20.0,7.0,1.0,5.0,10.0,20.0,20,20,,2.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
27,20,20.0,1.0,1.0,2.0,6.0,20.0,20,20,2.0,9.0,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,
28,20,20.0,3.0,,,12.0,20.0,20,20,2.0,6.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
29,20,20.0,,,,4.0,20.0,20,20,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,20,20.0,,,,1.0,20.0,20,20,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,20,20.0,2.0,1.0,1.0,11.0,20.0,20,20,3.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
32,20,20.0,1.0,,,7.0,20.0,20,20,2.0,6.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
33,20,20.0,,,,2.0,20.0,20,20,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,20,20.0,,,,3.0,20.0,20,20,2.0,8.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
35,20,20.0,,,,2.0,20.0,20,20,,8.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
36,20,20.0,1.0,,,8.0,20.0,20,20,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,20,20.0,1.0,,,8.0,20.0,20,20,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,20,20.0,2.0,1.0,1.0,14.0,20.0,20,20,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
39,20,20.0,2.0,,,11.0,20.0,20,20,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
40,20,20.0,,,,1.0,20.0,20,20,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
41,20,20.0,5.0,,3.0,12.0,20.0,20,20,,5.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
42,20,20.0,,,,2.0,20.0,20,20,5.0,11.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,
43,20,20.0,,,,5.0,20.0,20,20,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
44,20,20.0,7.0,1.0,5.0,10.0,20.0,20,20,,3.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
45,20,20.0,,1.0,3.0,6.0,20.0,20,20,1.0,8.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,
46,20,20.0,,,,8.0,20.0,20,20,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
47,20,20.0,3.0,,,12.0,20.0,20,20,2.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
48,20,20.0,1.0,1.0,4.0,5.0,20.0,20,20,1.0,5.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
49,20,20.0,3.0,,3.0,12.0,20.0,20,20,1.0,12.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
50,20,20.0,3.0,,1.0,10.0,20.0,20,20,5.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
51,20,20.0,3.0,,2.0,12.0,20.0,20,20,1.0,11.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
52,20,20.0,,,,2.0,20.0,20,20,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
53,20,20.0,,,,2.0,20.0,20,20,,9.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
54,20,20.0,,,,,20.0,20,20,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
55,20,20.0,2.0,1.0,1.0,11.0,20.0,20,20,3.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
56,20,20.0,1.0,,,9.0,20.0,20,20,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
57,20,20.0,1.0,,,10.0,20.0,20,20,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
58,20,20.0,,,,2.0,20.0,20,20,,8.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
59,20,20.0,2.0,1.0,1.0,11.0,20.0,20,20,2.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
60,20,20.0,2.0,1.0,1.0,13.0,20.0,20,20,3.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
61,12,12.0,,,,,12.0,12,12,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
62,20,20.0,7.0,,4.0,10.0,20.0,20,20,,3.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
63,20,20.0,1.0,,,6.0,20.0,20,20,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
64,20,20.0,2.0,1.0,1.0,14.0,20.0,20,20,3.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
65,20,20.0,1.0,,,6.0,20.0,20,20,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
66,20,20.0,3.0,1.0,1.0,12.0,20.0,20,20,4.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
67,20,20.0,,,,4.0,20.0,20,20,2.0,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
68,20,20.0,1.0,,,2.0,20.0,20,20,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
69,10,10.0,,,,,10.0,10,10,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
70,20,20.0,1.0,,,4.0,20.0,20,20,3.0,13.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
71,8,8.0,,,,2.0,8.0,8,8,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
72,20,20.0,1.0,,,8.0,20.0,20,20,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
73,8,,,,,,,7,7,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,
74,20,20.0,1.0,,,7.0,20.0,20,20,2.0,9.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
75,20,20.0,1.0,,,5.0,20.0,20,20,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
76,20,20.0,7.0,1.0,5.0,11.0,20.0,20,20,,2.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
77,20,20.0,5.0,,3.0,11.0,20.0,20,20,2.0,7.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
