,name,rating,reviews,description,descriptor,Location,type,places,cafe,bar,spa,lodging,restaurant,food,point_of_interest,establishment,bakery,store,night_club,book_store,tourist_attraction,florist,liquor_store,movie_rental,electronics_store,home_goods_store,movie_theater,gym,health,parking,gas_station,car_wash,convenience_store,car_repair,art_gallery,park,meal_takeaway,meal_delivery,locality,political,general_contractor,police,laundry
0,Mezquita Azul,4.7,82703,Famosa Mezquita Azul con 6 alminares,Mezquita,Fatih,0,20,20,2,1,1,11,20.0,20,20,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Gran Bazar,4.4,117603,Laberinto de vistosos mercados cubiertos,Mercado,Fatih,0,20,20,2,0,0,9,20.0,20,20,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Bazar de las Especias,4.5,138987,Mercado de especias y productos textiles,Mercado,Fatih,0,20,20,2,1,1,10,20.0,20,20,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Mezquita de Suleiman,4.9,43378,Histórica mezquita otomana del siglo XVI,Mezquita,Fatih,1,20,20,1,0,0,8,20.0,20,20,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Hipódromo de Constantinopla,4.7,26368,Plaza con los restos de un hipódromo,Parque,Fatih,3,20,20,2,1,1,11,20.0,20,20,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Puente de Gálata,4.6,29544,Puente moderno sobre el Cuerno de Oro,Obra moderna,Beyoğlu,2,20,20,3,1,2,10,20.0,20,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Parque Gülhane,4.7,52262,Apacible parque urbano con jardines y museo,Parque,Fatih,0,20,20,2,1,1,14,20.0,20,20,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Rumeli Hisarı,4.6,10961,Antigua fortaleza con vistas panorámicas,Espacio histórico,Sarıyer,4,20,20,0,0,0,6,20.0,20,20,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Eyüp Sultan Mosque,4.8,53405,Mezquita histórica con un mausoleo,Mezquita,Eyüpsultan,5,20,20,1,0,1,5,20.0,20,20,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Parque Emirgan,4.6,41937,Parque pintoresco con zonas de juego y senderos,Parque,Reşitpaşa,6,20,20,0,0,0,9,20.0,20,20,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Mezquita de Fatih,4.8,31392,Mezquita colosal con varias cúpulas,Mezquita,Fatih,0,20,20,0,0,0,9,20.0,20,20,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Yıldız Park,4.7,30383,Parque urbano con un museo en un palacio otomano,Parque,Beşiktaş,1,20,20,1,0,0,6,20.0,20,20,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Palacio Beylerbeyi,4.7,10662,Palacio de verano histórico con jardines,Espacio histórico,Üsküdar,1,20,20,0,0,0,6,20.0,20,20,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Palacio de Çırağan,4.7,9000,"Hotel con spa, piscina y helipuerto",Espacio histórico,Beşiktaş,3,20,20,2,0,0,9,20.0,20,20,1,5,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Mezquita Nueva,4.7,8762,Emblemática mezquita del siglo XVII,Mezquita,Fatih,0,20,20,2,1,1,10,20.0,20,20,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Istanbul Aquarium,4.4,27816,Gran acuario con tienda de regalos y cafeterías,Aquarium,Florya,6,20,20,0,0,0,4,20.0,20,20,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Iglesia de San Antonio de Padua,4.6,12538,Iglesia católica de 1912,Iglesia,Beyoğlu,1,20,20,7,0,3,9,20.0,20,20,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Torre de la Doncella,4.7,16851,Torre en un islote accesible en barco,Espacio histórico,Üsküdar,3,20,20,0,0,0,6,20.0,20,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Plaza Beyazit,4.5,21037,Plaza pública frente a la universidad,Plaza,Fatih,0,20,20,2,0,0,8,20.0,20,20,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Mezquita de Ortaköy,4.8,29338,Mezquita barroca con una luz única,Mezquita,Beşiktaş,0,20,20,1,0,0,8,20.0,20,20,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Mezquita de Rüstem Paşa,4.7,4270,Histórica mezquita famosa por sus azulejos,Mezquita,Fatih,0,20,20,2,1,1,10,20.0,20,20,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Pasaje de las Flores,4.4,12903,"Pasaje histórico, tiendas y cafeterías",Espacio histórico,Beyoğlu,1,20,20,7,0,4,10,20.0,20,20,0,3,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Mezquita de Nuruosmaniye,4.8,8791,Gran mezquita otomana del siglo XVIII,Mezquita,Fatih,0,20,20,2,1,1,13,20.0,20,20,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Taksim Square,4.4,40700,Plaza extensa y céntrica con un monumento,plaza,Beyoğlu,0,20,20,4,1,4,5,20.0,20,20,0,3,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Anadoluhisarı,4.6,5293,Fortaleza del siglo XIV frente al Bósforo,Espacio histórico,Beykoz,5,20,20,1,0,0,8,20.0,20,20,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
25,Columna de Constantino,4.6,7717,Columna de piedra de los antiguos romanos,Espacio histórico,Fatih,0,20,20,3,1,1,12,20.0,20,20,4,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Madame Tussauds Istanbul,4.4,10946,"Museo de cera, escultura y museo",Museo,Beyoğlu,1,20,20,7,1,5,10,20.0,20,20,0,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
